식품인증업소 관리 일련번호,업소번호,업소 명,자치구 코드,자치구 명,업종 코드,업종 명,업태 코드,업태 명,업주 명,식품인증구분,식품인증 구분명,인증일자,사용여부,지도표시여부,식품인증업소 등급,지도 Y좌표,지도 X좌표,전화번호,도로명상세주소,도로명주소코드,도로명주소,허가번호,최초작성일자,최종수정일자,업소인증메뉴,교부번호,인증여부
6821,,베지랜드 삼육병원,3050000,동대문구,101,일반음식점,10101,한식,없음,14,채식음식점,2015-09-01,N,N,,37.58621104,127.0635526,,,,동대문구 망우로82,,53:53.0,53:53.0,,,Y
6244,53,발우공양 고상,3010000,중구,101,일반음식점,10101,한식,김정자,14,채식음식점,2014-01-01,N,Y,,37.56733877,126.9852082,02-6030-8955,26 (수하동외 1필지 센터원빌딩 지하2층),1.11404E+15,서울특별시 중구 을지로5길,3.01E+18,04:59.0,04:59.0,,20110029164,Y
6243,10602,오세계향,3000000,종로구,101,일반음식점,10105,분식,이승섭,14,채식음식점,2014-01-01,N,Y,,37.57468009,126.9852656,02-750-7306,14-5 (관훈동(지상1층)),1.11104E+15,서울특별시 종로구 인사동12길,3E+18,03:43.0,03:43.0,,19990025688,Y
6242,10758,한과채밥집,3000000,종로구,101,일반음식점,10101,한식,이양희,14,채식음식점,2014-01-01,N,Y,,37.57434498,126.985723,02-720-2802,13 (관훈동청하빌딩지하1층),1.11104E+15,서울특별시 종로구 인사동10길,3E+18,58:43.0,58:43.0,,19990025873,Y
6241,112,발우공양 콩,3000000,종로구,101,일반음식점,10101,한식,문양수,14,채식음식점,2014-01-01,N,Y,,37.57393739,126.9831873,02-2031-2016,56 (견지동템플스테이 통합정보센터 2층),1.11103E+15,서울특별시 종로구 우정국로,3E+18,58:04.0,58:04.0,,20110025252,Y
6240,212,발우공양,3000000,종로구,101,일반음식점,10101,한식,문양수,14,채식음식점,2014-01-01,N,Y,,37.57393739,126.9831873,,56 (견지동),1.11103E+15,서울특별시 종로구 우정국로,3E+18,57:33.0,57:33.0,,20090025391,Y
6239,38,(주)마지,3210000,서초구,101,일반음식점,10101,한식,김현진,14,채식음식점,2014-01-01,N,Y,,0,0,02-536-5228,59 1 2층 (방배동),1.16503E+15,서울특별시 서초구 동광로,3.21E+18,56:34.0,56:34.0,,20120098123,Y
6238,362,바비오네(BABIONE),3210000,서초구,101,일반음식점,10101,한식,이하웅,14,채식음식점,2014-01-01,N,Y,,37.50643547,127.0068357,,194 경부선1층동 10호 (반포동 서울고속버스터미널 부속상가동),1.16503E+15,서울특별시 서초구 신반포로,3.21E+18,55:50.0,55:50.0,,20120098910,Y
6237,166,제로플랜,3190000,동작구,101,일반음식점,10199,기타(일반음식점),김재범,14,채식음식점,2014-01-01,N,Y,,37.48488667,126.9687845,,93 1층 (사당동),1.15904E+15,서울특별시 동작구 사당로16가길,3.19E+18,54:11.0,54:11.0,,20140091423,Y
6236,166,제로플랜,3190000,동작구,101,일반음식점,10199,기타(일반음식점),김재범,14,채식음식점,2014-01-01,N,Y,,37.48488667,126.9687845,,93 1층 (사당동),1.15904E+15,서울특별시 동작구 사당로16가길,3.19E+18,52:30.0,52:30.0,,20140091423,Y
6235,20,삼육서울병원(베지랜드),3050000,동대문구,105,집단급식소,10501,집단급식소,삼육서울병원장,14,채식음식점,2014-01-01,N,Y,,37.58621104,127.0635526,02-210-3648,82 (휘경2동 29-1 ) ,1.12303E+15,서울특별시 동대문구 망우로,3.05E+18,44:58.0,44:58.0,,19960042583,Y
6234,121,인사랑,3000000,종로구,101,일반음식점,10101,한식,신정숙,14,채식음식점,2014-01-01,N,Y,,37.57294672,126.9865066,070 41622533,24 지상2층 (인사동 덕원빌딩),1.11104E+15,서울특별시 종로구 인사동길,3E+18,41:19.0,41:19.0,,20140025244,Y
6233,157,플랜트(PLANT),3020000,용산구,101,일반음식점,10103,경양식,이미파,14,채식음식점,2014-01-01,N,Y,,37.533415,126.9914104,,20 (이태원동 63-15 지하1층),1.11704E+15,서울특별시 용산구 이태원로16길,3.02E+18,39:27.0,39:27.0,,20130033342,Y
6232,220,안현필 건강밥상,3160000,구로구,101,일반음식점,10101,한식,이화실,14,채식음식점,2014-01-01,N,Y,,37.49241126,126.8934985,02-853-6094,30 (구로동),1.15304E+15,서울특별시 구로구 구로중앙로8길,3.16E+18,37:50.0,37:50.0,,20060080395,Y
6231,217,효소애,3030000,성동구,101,일반음식점,10101,한식,정윤희,14,채식음식점,2014-01-01,N,Y,,37.56295621,127.033136,02-2299-3487,332 지상2층 (도선동 256-5),1.12003E+15,서울특별시 성동구 왕십리로,3.03E+18,36:34.0,36:34.0,,20120036524,Y
